area_name,area_type,data_layer,uncertainty_score,year,scientific_name,common_name,functional_group,commercial_group,fishing_entity,fishing_sector,catch_type,reporting_status,gear_type,end_use_type,tonnes,landed_value
"Heard & McDonald Isl. (Australia)",eez,Assigned Tuna RFMO catch,,1952,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","Japan",Industrial,Discards,Unreported,longline,Discards,0.0003660860,0.5366820386778959
"Heard & McDonald Isl. (Australia)",eez,Assigned Tuna RFMO catch,,1952,"Thunnus maccoyii","Southern bluefin tuna","Large pelagics (>=90 cm)","Tuna & billfishes","Australia",Industrial,Landings,Reported,mixed gear,Direct human consumption,0.0000485168,0.016182411424807752
"Heard & McDonald Isl. (Australia)",eez,Assigned Tuna RFMO catch,,1952,"Thunnus maccoyii","Southern bluefin tuna","Large pelagics (>=90 cm)","Tuna & billfishes","Japan",Industrial,Landings,Reported,longline,Direct human consumption,0.0010804734,1.2014864668239107
"Heard & McDonald Isl. (Australia)",eez,Assigned Tuna RFMO catch,,1953,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","Japan",Industrial,Discards,Unreported,longline,Discards,0.0023321329,3.4189067899355527
"Heard & McDonald Isl. (Australia)",eez,Assigned Tuna RFMO catch,,1953,"Thunnus maccoyii","Southern bluefin tuna","Large pelagics (>=90 cm)","Tuna & billfishes","Australia",Industrial,Landings,Reported,mixed gear,Direct human consumption,0.0000607746,0.03524907621925482
"Heard & McDonald Isl. (Australia)",eez,Assigned Tuna RFMO catch,,1953,"Thunnus maccoyii","Southern bluefin tuna","Large pelagics (>=90 cm)","Tuna & billfishes","Japan",Industrial,Landings,Reported,longline,Direct human consumption,0.0068831035,52.51807936636775
"Heard & McDonald Isl. (Australia)",eez,Assigned Tuna RFMO catch,,1954,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","Japan",Industrial,Discards,Unreported,longline,Discards,0.0013504718,1.9797916481024354
"Heard & McDonald Isl. (Australia)",eez,Assigned Tuna RFMO catch,,1954,"Thunnus maccoyii","Southern bluefin tuna","Large pelagics (>=90 cm)","Tuna & billfishes","Australia",Industrial,Landings,Reported,mixed gear,Direct human consumption,0.0000070448,0.0034979142284734346
"Heard & McDonald Isl. (Australia)",eez,Assigned Tuna RFMO catch,,1954,"Thunnus maccoyii","Southern bluefin tuna","Large pelagics (>=90 cm)","Tuna & billfishes","Japan",Industrial,Landings,Reported,longline,Direct human consumption,0.0039858094,18.095574547073273
"Heard & McDonald Isl. (Australia)",eez,Assigned Tuna RFMO catch,,1958,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","Japan",Industrial,Discards,Unreported,longline,Discards,0.0127087476,18.63102399740099
"Heard & McDonald Isl. (Australia)",eez,Assigned Tuna RFMO catch,,1958,"Thunnus maccoyii","Southern bluefin tuna","Large pelagics (>=90 cm)","Tuna & billfishes","Australia",Industrial,Landings,Reported,mixed gear,Direct human consumption,0.0018891227,4.5328509993194945
"Heard & McDonald Isl. (Australia)",eez,Assigned Tuna RFMO catch,,1958,"Thunnus maccoyii","Southern bluefin tuna","Large pelagics (>=90 cm)","Tuna & billfishes","Japan",Industrial,Landings,Reported,longline,Direct human consumption,0.0375088510,788.0984785060285
"Heard & McDonald Isl. (Australia)",eez,Assigned Tuna RFMO catch,,1959,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","Japan",Industrial,Discards,Unreported,longline,Discards,0.0522346531,76.57600138596659
